Time,CH1,CH2,CH3,CH4,Wavelength,delta_lambda_pm
441.595423,1,0,0,0,1523.69816,-526.1300000001938
441.795421,1,0,0,0,1523.69853,-525.7600000002185
441.995419,1,0,0,0,1523.69853,-525.7600000002185
442.195416,1,0,0,0,1523.69664,-527.6500000002216
442.395415,1,0,0,0,1523.69645,-527.8400000001966
442.595412,1,0,0,0,1523.70023,-524.0600000001905
442.79541,1,0,0,0,1523.69834,-525.9500000001935
442.995408,1,0,0,0,1523.69834,-525.9500000001935
443.195406,1,0,0,0,1523.69985,-524.4400000001406
443.395404,1,0,0,0,1523.70004,-524.2500000001655
443.595402,1,0,0,0,1523.70004,-524.2500000001655
443.7954,1,0,0,0,1523.70193,-522.3600000001625
443.995398,1,0,0,0,1523.69664,-527.6500000002216
444.195396,1,0,0,0,1523.70023,-524.0600000001905
444.395394,1,0,0,0,1523.70023,-524.0600000001905
444.595392,1,0,0,0,1523.70192,-522.3700000001372
444.795389,1,0,0,0,1523.70023,-524.0600000001905
444.995387,1,0,0,0,1523.70023,-524.0600000001905
445.195385,1,0,0,0,1523.70023,-524.0600000001905
445.395383,1,0,0,0,1523.70023,-524.0600000001905
445.595381,1,0,0,0,1523.70004,-524.2500000001655
445.795379,1,0,0,0,1523.70211,-522.1800000001622
445.995377,1,0,0,0,1523.70004,-524.2500000001655
446.195375,1,0,0,0,1523.70174,-522.5500000001375
446.395373,1,0,0,0,1523.70023,-524.0600000001905
446.595371,1,0,0,0,1523.70023,-524.0600000001905
446.795369,1,0,0,0,1523.69816,-526.1300000001938
446.995367,1,0,0,0,1523.69816,-526.1300000001938
447.195364,1,0,0,0,1523.70023,-524.0600000001905
447.395363,1,0,0,0,1523.70023,-524.0600000001905
447.595361,1,0,0,0,1523.69872,-525.5700000000161
447.795358,1,0,0,0,1523.70004,-524.2500000001655
447.995356,1,0,0,0,1523.70193,-522.3600000001625
448.195354,1,0,0,0,1523.70004,-524.2500000001655
448.395352,1,0,0,0,1523.70193,-522.3600000001625
448.59535,1,0,0,0,1523.70212,-522.1700000001874
448.795348,1,0,0,0,1523.70212,-522.1700000001874
448.995346,1,0,0,0,1523.70023,-524.0600000001905
449.195344,1,0,0,0,1523.70023,-524.0600000001905
449.395342,1,0,0,0,1523.70005,-524.2400000001908
449.59534,1,0,0,0,1523.69835,-525.9400000002188
449.795338,1,0,0,0,1523.70005,-524.2400000001908
449.995336,1,0,0,0,1523.69835,-525.9400000002188
450.195333,1,0,0,0,1523.70004,-524.2500000001655
450.395331,1,0,0,0,1523.69834,-525.9500000001935
450.595329,1,0,0,0,1523.69815,-526.1400000001686
450.795327,1,0,0,0,1523.69645,-527.8400000001966
450.995325,1,0,0,0,1523.69664,-527.6500000002216
451.195323,1,0,0,0,1523.69664,-527.6500000002216
451.395321,1,0,0,0,1523.69834,-525.9500000001935
451.595319,1,0,0,0,1523.69815,-526.1400000001686
