Time,CH1,CH2,CH3,CH4,Wavelength,delta_lambda_pm
261.797205,1,0,0,0,1524.64695,36.9700000001103
261.997203,1,0,0,0,1524.65243,42.45000000014443
262.197201,1,0,0,0,1524.66604,56.060000000115906
262.397199,1,0,0,0,1524.69628,86.29999999993743
262.597197,1,0,0,0,1524.70365,93.6699999999746
262.797194,1,0,0,0,1524.70876,98.7800000000334
262.997192,1,0,0,0,1524.73201,122.0299999999952
263.19719,1,0,0,0,1524.72275,112.76999999995496
263.397188,1,0,0,0,1524.70536,95.37999999997737
263.597186,1,0,0,0,1524.72029,110.31000000002678
263.797184,1,0,0,0,1524.70309,93.11000000002423
263.997182,1,0,0,0,1524.66415,54.17000000011285
264.19718,1,0,0,0,1524.62578,15.800000000126602
264.397177,1,0,0,0,1524.62521,15.229999999974098
264.597175,1,0,0,0,1524.6857,75.72000000004664
264.797173,1,0,0,0,1524.57456,-35.41999999993095
264.997171,1,0,0,0,1524.59781,-12.16999999996915
265.197169,1,0,0,0,1524.52826,-81.71999999990476
265.397167,1,0,0,0,1524.41356,-196.41999999998916
265.597165,1,0,0,0,1524.37124,-238.74000000000706
265.797163,1,0,0,0,1524.32722,-282.76000000005297
265.99716,1,0,0,0,1524.32911,-280.8700000000499
266.197158,1,0,0,0,1524.3327,-277.28000000001884
266.397156,1,0,0,0,1524.3293,-280.6799999998475
266.597154,1,0,0,0,1524.33289,-277.0900000000438
266.797152,1,0,0,0,1524.331,-278.98000000004686
266.99715,1,0,0,0,1524.33289,-277.0900000000438
267.197148,1,0,0,0,1524.3327,-277.28000000001884
267.397146,1,0,0,0,1524.33118,-278.80000000004657
267.597143,1,0,0,0,1524.3327,-277.28000000001884
267.797141,1,0,0,0,1524.3327,-277.28000000001884
267.997139,1,0,0,0,1524.33288,-277.10000000001855
268.197137,1,0,0,0,1524.33458,-275.39999999999054
268.397135,1,0,0,0,1524.3327,-277.28000000001884
268.597133,1,0,0,0,1524.331,-278.98000000004686
268.797131,1,0,0,0,1524.331,-278.98000000004686
268.997128,1,0,0,0,1524.3327,-277.28000000001884
269.197126,1,0,0,0,1524.32948,-280.4999999998472
269.397124,1,0,0,0,1524.331,-278.98000000004686
269.597122,1,0,0,0,1524.331,-278.98000000004686
269.79712,1,0,0,0,1524.33119,-278.78999999984444
269.997118,1,0,0,0,1524.32911,-280.8700000000499
270.197116,1,0,0,0,1524.33081,-279.1700000000219
270.397114,1,0,0,0,1524.33119,-278.78999999984444
270.597111,1,0,0,0,1524.33119,-278.78999999984444
270.79711,1,0,0,0,1524.33081,-279.1700000000219
270.997107,1,0,0,0,1524.33081,-279.1700000000219
271.197105,1,0,0,0,1524.3293,-280.6799999998475
271.397103,1,0,0,0,1524.3293,-280.6799999998475
271.597101,1,0,0,0,1524.331,-278.98000000004686
271.797099,1,0,0,0,1524.32911,-280.8700000000499
271.997097,1,0,0,0,1524.33289,-277.0900000000438
272.197095,1,0,0,0,1524.3327,-277.28000000001884
272.397092,1,0,0,0,1524.331,-278.98000000004686
272.59709,1,0,0,0,1524.3276,-282.3799999998755
272.797088,1,0,0,0,1524.32892,-281.06000000002496
272.997086,1,0,0,0,1524.331,-278.98000000004686
273.197084,1,0,0,0,1524.32911,-280.8700000000499
273.397082,1,0,0,0,1524.3327,-277.28000000001884
273.59708,1,0,0,0,1524.33081,-279.1700000000219
